Sl. No.,Category,Crop,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25 (Est),Growth_5yr(%)
1,Cereals,Rice,2722,2717,2798,2838,2882,2920,7.27
2,Cereals,Wheat,3440,3521,3537,3521,3559,3605,4.80
3,Cereals,Maize,3006,3199,3387,3545,3351,3450,14.77
4,Cereals,Barley,2920,2796,3025,3044,3082,3120,6.85
5,Cereals,Jowar,989,1099,1092,1079,1162,1205,21.83
6,Cereals,Bajra,1374,1420,1430,1510,1453,1495,8.80
7,Cereals,Ragi,1747,1724,1396,1454,1375,1400,-19.86
8,Cereals,Small Millets,809,781,857,898,935,970,19.90
9,Cereals,Shree Anna/Nutri Cereals,1248,1322,1302,1364,1337,1380,10.57
10,Cereals,Nutri/Coarse Cereals,1991,2128,2251,2381,2283,2350,14.31
11,Cereals,Total Cereals,2772,2824,2899,2939,2945,3000,8.22

12,Pulses,Tur,859,914,861,814,827,845,-1.63
13,Pulses,Gram,1142,1192,1261,1172,1151,1180,3.41
14,Pulses,Urad,459,538,599,657,656,670,46.00
15,Pulses,Moong,548,601,570,663,598,620,13.13
16,Pulses,Lentil,847,1017,899,952,1028,1060,21.84
17,Pulses,Other Pulses,707,731,666,823,776,800,9.94
18,Pulses,Total Pulses,823,885,888,902,881,900,9.35

19,Oilseeds,Groundnut,4895,5355,5765,6002,5890,6100,24.62
20,Oilseeds,Mustard,4425,4650,5050,5200,5300,5500,24.29
21,Oilseeds,Soybean,3800,4200,4500,4700,4600,4800,26.31

22,Cash Crops,Cotton,5600,5900,6200,6100,6050,6200,10.71
23,Cash Crops,Sugarcane,2850,2900,3000,3100,3150,3200,12.28

24,Total,Total Food Grains,2343,2394,2425,2494,2515,2550,8.83